공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
1회섭취참고량명,만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조사 결과 등을 바탕으로 설정한 값의 이름,RAFOS_NM,명V100,,100자리 이내 문자,,,,"1회섭취참고량이름, 1회섭취참고량명칭",5차(2022-07),,,
1회투여량,약물이나 주사제 등이 한번에 몸에 투여되는 양,SGLDS,"수N15,4",,99999999999.9999,99999999999.9999,,,,8차(2025-11),,,
API명,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스의 이름",API_NM,명V300,,300자리 이내 문자,,,,,6차(2023-11),,,
API사용여부,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스를 사용하였는지 여부",API_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
API설명,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스에 대한 설명",API_EXPLN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
CAS번호,화학적 동질성을 갖는 물질에 대하여 미국 화학회(化學會)에서 부여하는 식별 번호,CAS_NO,번호V20,,20자리 이내 문자,,,,,6차(2023-11),,,
CCTV고유번호,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템을 구분하려고 부여하는 식별 번호,CCTV_UNQ_NO,번호V50,,50자리 이내 문자,,,,,8차(2025-11),,,
CCTV명,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템의 이름,CCTV_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
CI번호,"여러 온라인 서비스에서 동일인을 확인할 수 있는 연계 정보로, 본인인증을 거친 뒤 사업자 간 사용자를 식별할 수 있도록 암호화하여 부여하는 식별 번호",CI_NO,번호V88,,88자리 이내 문자,,,,,8차(2025-11),,,
CMS계좌번호,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나, 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스의 계좌번호",CMS_ACTNO,계좌번호V20,,20자리 이내 문자,,,,,7차(2024-11),,,
