content_id,type,slug,proposed_target_agency,proposed_jurisdiction,confidence,reason
audit_case:1,AuditCase,private-contract-over-limit,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:2,AuditCase,private-contract-split,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:3,AuditCase,private-contract-no-quote,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:4,AuditCase,private-contract-same-vendor,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:5,AuditCase,emergency-contract-unjustified,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:6,AuditCase,bid-period-insufficient,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:7,AuditCase,bid-unfair-spec,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:8,AuditCase,bid-rebid-condition-change,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:9,AuditCase,bid-qualification-excessive,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:10,AuditCase,contract-late-execution,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:11,AuditCase,contract-guarantee-exemption-wrong,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:12,AuditCase,contract-no-guarantee-forfeiture,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:13,AuditCase,inspection-delayed,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:14,AuditCase,inspection-by-requester,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:15,AuditCase,late-penalty-not-imposed,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:16,AuditCase,late-penalty-wrong-rate,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:17,AuditCase,defect-warranty-short-period,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:18,AuditCase,defect-warranty-no-deposit,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:19,AuditCase,payment-before-inspection,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:20,AuditCase,payment-advance-misuse,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:21,AuditCase,payment-delay-no-interest,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
audit_case:22,AuditCase,subcontract-whole-transfer,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:23,AuditCase,subcontract-no-notice,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:24,AuditCase,subcontract-direct-payment-denied,"",,LOW,구조적 신호 없음 — UNSPECIFIED 유지 (추론하지 않음)
audit_case:25,AuditCase,estimated-price-leak,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:26,AuditCase,estimated-price-no-research,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:27,AuditCase,design-change-unapproved,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:28,AuditCase,price-escalation-below-threshold,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:29,AuditCase,joint-contract-nominal,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:30,AuditCase,e-bidding-offline-processed,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:31,AuditCase,contract-termination-no-notice,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:32,AuditCase,private-contract-purpose-mismatch,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률 시행령)
audit_case:33,AuditCase,private-contract-retroactive,LOCAL_GOVERNMENT,LOCAL,HIGH,legal_basis 가 지방 전용 법령만 인용 (지방자치단체를 당사자로 하는 계약에 관한 법률)
