content_id,slug,old_source,proposed_source_type,proposed_source_agency,proposed_source_url,proposed_verification_status,confidence,reason,requires_review
audit_case:1,private-contract-over-limit,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제25조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:2,private-contract-split,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제9조, 시행령 제25조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:3,private-contract-no-quote,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제25조 제1항 제5호, 제30조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:4,private-contract-same-vendor,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제9조, 시행령 제25조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:5,emergency-contract-unjustified,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제25조 제1항 제2호. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:6,bid-period-insufficient,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제35조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:7,bid-unfair-spec,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:8,bid-rebid-condition-change,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:9,bid-qualification-excessive,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제9조, 시행령 제13조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:10,contract-late-execution,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제49조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:11,contract-guarantee-exemption-wrong,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제53조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:12,contract-no-guarantee-forfeiture,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제52조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:13,inspection-delayed,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제66조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:14,inspection-by-requester,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제66조, 입찰 및 계약집행기준. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:15,late-penalty-not-imposed,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제30조, 시행령 제90조, 시행규칙 제75조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:16,late-penalty-wrong-rate,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제90조, 시행규칙 제75조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:17,defect-warranty-short-period,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제69조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:18,defect-warranty-no-deposit,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제71조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:19,payment-before-inspection,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제17조, 시행령 제67조. 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:20,payment-advance-misuse,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:21,payment-delay-no-interest,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 제18조(대가의 지급), 시행령 제67조(대가의 지급, 5일 이내). 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
audit_case:22,subcontract-whole-transfer,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:23,subcontract-no-notice,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:24,subcontract-direct-payment-denied,,UNVERIFIED,,,LEGAL_REFERENCE_VERIFIED,HIGH,출처 정보 없음 — UNVERIFIED 로 명시 (기존에도 실질적 미검증 상태),false
audit_case:25,estimated-price-leak,"공개 감사패턴 일반화(silmu 시드, 특정 실사례 아님). law.go.kr 검증 근거: 지방계약법 시행령 제8조, 형법 제127조(공무상 비밀누설). 운영 정합",SILMU_RECONSTRUCTED_CASE,,,LEGAL_REFERENCE_VERIFIED,HIGH,콘텐츠가 스스로 재구성 사례임을 명시 (verification_source 에 '특정 실사례 아님'),false
